,Time,Power
417,0.562,0.004503657
418,0.562,0.004094502
419,0.572,0.004251084
420,0.572,0.003555697
421,0.572,0.002777433
422,0.572,0.003278739
423,0.572,0.003063793
424,0.572,0.002588714
425,0.582,0.002403292
426,0.582,0.001981211
427,0.582,0.001773857
428,0.582,0.001565659
429,0.582,0.001082074
430,0.582,0.00121975
431,0.592,0.001515025
432,0.592,0.00133515
433,0.592,0.00131027
434,0.592,0.000703512
435,0.592,0.000626966
436,0.592,0.000458634
437,0.592,0.000446517
438,0.602,0.000289336
439,0.602,0.000241449
440,0.602,0.000232861
441,0.602,0.000131834
442,0.602,0.000107928
443,0.602,-0.000123506
444,0.612,-8.02E-05
445,0.612,-0.000192262
446,0.612,-0.000185286
447,0.612,-0.000139523
448,0.612,-0.000173167
449,0.612,-0.000252242
450,0.622,-0.000245901
451,0.622,-0.000122668
452,0.622,-0.000315923
453,0.622,-0.000175326
454,0.622,-0.000232076
455,0.622,-0.000232068
456,0.632,-0.000154934
457,0.632,-0.000315568
458,0.632,-0.000162627
459,0.632,-0.000168441
460,0.632,-0.000254095
461,0.632,-0.00025549
462,0.632,-0.000135208
463,0.642,-9.14E-05
464,0.642,-9.84E-05
465,0.642,-0.000297896
466,0.642,-0.000383677
467,0.642,-0.000296007
468,0.642,-0.000367152
469,0.652,-0.00030299
470,0.652,-0.000673433
471,0.652,-0.000768637
472,0.652,-0.00042233
473,0.652,-0.000868354
474,0.652,-0.000523835
475,0.662,-0.000737837
476,0.662,-0.000861342
477,0.662,-0.000457375
478,0.662,-0.00044327
479,0.662,-0.000251442
480,0.662,-0.000661089
481,0.672,-0.000417524
482,0.672,-0.000387311
483,0.672,-0.000354303
484,0.672,-0.000632861
485,0.672,-0.000588863
486,0.672,-0.000287321
487,0.672,-0.000534819
488,0.682,-0.000518756
489,0.682,-0.000180723
490,0.682,-0.000124055
491,0.682,-6.47E-05
492,0.682,-0.000289854
493,0.682,-0.000263758
494,0.692,7.52E-05
495,0.692,0.000410686
496,0.692,0.000131505
497,0.692,-9.64E-05
498,0.692,-7.21E-05
499,0.692,-4.35E-05
500,0.702,-2.92E-05
501,0.702,0.000377343
502,0.702,0.00018791
503,0.702,-4.17E-06
504,0.702,0.000214448
505,0.702,-2.24E-06
506,0.712,-4.82E-06
507,0.712,-9.69E-06
508,0.712,0.00023624
509,0.712,0.000225718
510,0.712,-3.95E-05
511,0.712,-5.73E-05
512,0.712,0.000182365
513,0.722,0.000164607
514,0.722,0.000401427
515,0.722,0.000125243
516,0.722,0.000359956
517,0.722,7.58E-05
518,0.722,5.51E-05
519,0.732,3.41E-05
520,0.732,-0.000204372
521,0.732,-0.000202878
522,0.732,-0.000219401
523,0.732,-3.82E-05
524,0.732,-0.000224655
525,0.742,-0.00023644
526,0.742,-0.000246652
527,0.742,-0.000255028
528,0.742,-9.35E-05
529,0.742,-0.000491635
530,0.742,-0.000266764
531,0.752,-0.000442756
532,0.752,-0.000438808
533,0.752,-0.000480057
534,0.752,-0.000299833
535,0.752,-0.000284828
536,0.752,-0.000315155
537,0.752,-0.00054619
538,0.762,-0.000262333
539,0.762,-0.000231832
540,0.762,-0.000385196
541,0.762,-0.000152646
542,0.762,-0.000130668
543,0.762,-0.000103274
544,0.772,-6.65E-05
545,0.772,-0.000540794
546,0.772,-0.000254059
547,0.772,-0.000225886
548,0.772,4.65E-05
549,0.772,-0.000152038
550,0.782,-0.000125056
551,0.782,-0.000115323
552,0.782,8.77E-05
553,0.782,-0.000242873
554,0.782,7.11E-05
555,0.782,-0.000216741
556,0.792,-7.26E-05
557,0.792,-0.000197606
558,0.792,-0.000206224
559,0.792,-0.000180312
560,0.792,-0.0001097
561,0.792,-0.000240298
562,0.792,-0.000295796
563,0.802,-0.000149147
564,0.802,-0.00046587
565,0.802,-0.000442593
566,0.802,-0.000285715
567,0.802,-0.000428737
568,0.802,-0.000389321
569,0.812,-0.000459791
570,0.812,-0.000473053
571,0.812,-0.000484517
572,0.812,-0.000732941
573,0.812,-0.000501399
574,0.812,-0.000305455
575,0.822,-0.000666995
576,0.822,-0.000352637
577,0.822,-0.000381354
578,0.822,-0.000315358
579,0.822,-0.000311568
580,0.822,-0.00048591
581,0.832,-0.000300217
582,0.832,-0.000292848
583,0.832,-0.000223289
584,0.832,-0.000373764
585,0.832,-0.000318567
586,0.832,-0.000306111
587,0.832,-0.00034211
588,0.842,-0.000531033
589,0.842,-0.000513602
590,0.842,-0.000381343
591,0.842,-0.000402999
592,0.842,-0.00077704
593,0.842,-0.000561802
594,0.852,-0.000490498
595,0.852,-0.000370981
596,0.852,-0.000356876
597,0.852,-0.000281085
598,0.852,-0.000248453
599,0.852,-0.000196026
600,0.862,-0.000136427
601,0.862,-0.000135859
602,0.862,-6.78E-05
603,0.862,4.82E-05
604,0.862,4.84E-05
605,0.862,0
606,0.872,0
607,0.872,-4.97E-05
608,0.872,-0.000210089
609,0.872,-0.0002121
610,0.872,-0.000142842
611,0.872,-5.25E-05
612,0.872,-5.33E-05
613,0.882,-0.000108338
614,0.882,-0.000149533
615,0.882,-0.000227225
616,0.882,-0.000230383
617,0.882,-0.000155879
618,0.882,-0.000197763
619,0.892,-0.000200528
620,0.892,8.21E-05
621,0.892,0
622,0.892,0
623,0.892,0
624,0.892,0
625,0.902,0.000131628
626,0.902,9.48E-05
627,0.902,0.000117193
628,0.902,0.000200678
629,0.902,0.000245922
630,0.902,0.000212557
631,0.912,0.000257998
632,0.912,0
633,0.912,0.000115289
634,0.912,0.00013782
635,0.912,0.000140498
636,0.912,0.000142959
637,0.912,0.000125464
638,0.922,0
639,0.922,0.000128846
640,0.922,0
641,0.922,0
642,0.922,0
643,0.922,-0.000261094
644,0.932,-0.000298937
645,0.932,-0.000257059
646,0.932,-0.000380407
647,0.932,-0.000432928
648,0.932,-0.000488093
649,0.932,-0.00029808
650,0.942,-0.000231487
651,0.942,-0.000462437
652,0.942,-0.00054202
653,0.942,-0.000508912
654,0.942,-0.000485202
655,0.942,-0.000384699
656,0.952,-0.000674931
657,0.952,-0.000534943
658,0.952,-0.000421806
659,0.952,-0.000330774
660,0.952,-0.000241273
661,0.952,-0.000290325
662,0.952,-0.000281455
663,0.962,-0.000298865
664,0.962,-0.000138463
665,0.962,-0.000221415
666,0.962,-0.000148326
667,0.962,0
668,0.962,7.64E-05
669,0.972,3.89E-05
670,0.972,0
671,0.972,0
672,0.972,6.65E-05
673,0.972,8.93E-05
674,0.972,7.30E-05
675,0.982,0.000152975
676,0.982,9.97E-05
677,0.982,0
678,0.982,0.00010653
679,0.982,-7.04E-05
680,0.982,-0.000225579
681,0.992,-0.000191779
682,0.992,-0.000295197
683,0.992,-0.000301817
684,0.992,-0.000307477
685,0.992,-0.000494949
686,0.992,-0.000427972
687,0.992,-0.000637143
688,1.002,-0.000533967
689,1.002,-0.000349693
690,1.002,-0.000437388
691,1.002,-0.000349192
692,1.002,-0.000347661
693,1.002,-0.000345444
694,1.012,-0.000342668
695,1.012,-0.000424325
696,1.012,-0.000518354
697,1.012,-0.000332209
698,1.012,-0.000407121
699,1.012,-0.000324518
700,1.022,-0.00040089
701,1.022,-0.000396265
702,1.022,-0.000470192
703,1.022,-0.000465134
704,1.022,-0.00046037
705,1.022,-0.000455907
706,1.032,-0.000215503
707,1.032,-0.000373213
708,1.032,-0.000444225
709,1.032,-0.000514288
710,1.032,-0.000437603
711,1.032,-0.000316424
712,1.032,-0.000365737
713,1.042,-0.000414198
